Race,Date,Place,Age,Gun Time,Net Time,Pace,Age Group Place,Gender Place,temp
,,,,,,,,,
Pumpkin Run 5K Run/Walk 2016,9/17/2016,87/187,54,38:27.1,38:15.0,12:23,5th/9,39/115,
Hot Diggity Dog Thanksgiving 5K,11/24/2016,197/375,54,34:25.3,34:06.7,11:05,5th/13,97/226,
Jingle Bell Run,12/17/2016,75/149,54,34:45.0,34:38.4,11:09,6th/14,39/91,
Race Into the New Year Prediction 5K (KV WinterSeries Race #1),1/1/2017,120/250,54,32:37.7,32:33.4,10:31,10th/20,61/153,
Dachshund Through the Snow 5K (KV WinterSeries Race #2),1/29/2017,129/248,54,32:19.4,32:03.7,10:25,1st/8,62/153,
Sweetheart 5K (KV WinterSeries Race #3),2/26/2017,106/251,54,30:45.7,30:33.6,9:55,1st/7,49/153,39
Race For The Cure,5/6/2017,71/162,55,30:01.9,29:56.8,9:40,4th/9,21/84,45
Almost Heaven 7K Trail Run,7/22/2017,78/165,55,1:01:58,1:01:58,14:15,3rd/16,33/98,75
Run For the Dragons 5K,8/12/2017,76/196,55,29:51.2,29:43.1,9:37,1st/11,23/110,71
Charleston Distance Run -15 Mile,9/2/2017,308/405,55,48:59.1,48:37.7,11:15,3rd/6,116/171,61
Pumpkin Run 5K Trail Run,9/30/2017,21/40,55,30:47:00,,9:55,1st/3,22-Sep,53
Marshall University Marathon,11/5/2017,310th/433,55,5:13:40,5:12:45,11:57,11th/17,64/107,57
Pay It Forward 5K (Race #1 KV WinterSeries),12/9/2017,68/228,55,29:40.1,29:33.5,9:33,3rd/27,27/144,36
Charleston Winter Series 5K - Race #1,12/10/2017,152/349,55,29:02.8,28:51.6,9:21,7th/31,62/189,31
Charleston Winter Series 8K - Race #2,1/14/2018,131/260,55,50:41.8,50:23.7,10:12,6th/21,54/146,19
Dachshund Through the Snow 5K (Race #2 KV WinterSeries),1/28/2018,68/197,55,29:37.0,29:28.8,9:32,1st/20,28/127,47
Charleston Winter Series 10K - Race #3,2/11/2018,131/257,55,01:03.4,01:03.3,10:15,5th/20,55/139,61
Fix 'Em 5K (Race #3 KV WinterSeries),2/25/2018,73/217,55,29:45.6,29:38.4,9:35,1st/21,30/135,60
Celtic Kilt 5K,3/3/2018,19/61,55,34:19.9,34.17.7,10.:39,3rd/9,Aug-37,33
Rockin' Red Dragons 5K,3/24/2018,22/65,56,31:06.7,31:06.6,10:01,1st/6,May-37,32
Run The BlueGrass Half Marathon,3/31/2018,1582/3163,56,`2:24:36,`2:24:36,11:03,39/137,802/1989,35
,,,56,,,,,,
,,,56,,,,,,
,,,56,,,,,,
,,,56,,,,,,
,,,56,,,,,,
